frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=106.199005, y=87.774567, z=-0.019258)",0.1613914668560028,1.8789933919906616,0.5370500683784485,0.0023162884172052145,0.0,False,0,100,0,1,33.98232591152191,0.0,1,39.3229866027832,3,3,3,3,3,3,1,1,1,1,1,0.021051311728395063,0.00043933256172839504,0.00045669367283950616
1.0,1.0000000149011612,"Location(x=106.299675, y=85.712608, z=-0.019264)",0.18885652720928192,2.049309253692627,0.5659327507019043,0.0012420660350471735,0.0,False,0,100,0,1,32.022204756736755,0.0,1,37.36420822143555,3,3,3,3,3,1,1,1,1,1,1,0.0013990162037037037,0.0004634452160493827,0.0004947916666666667
2.0,2.0000000298023224,"Location(x=106.364647, y=83.674995, z=-0.019265)",0.1838037669658661,2.234373092651367,0.5860632658004761,-0.012656315229833126,0.0,False,0,100,0,1,29.884501814842224,0.0,1,35.224613189697266,3,3,3,3,1,1,1,1,1,1,1,0.001593846450617284,0.00040268132716049385,0.0005261381172839507
3.0,3.0000000447034836,"Location(x=106.414314, y=81.316139, z=-0.019303)",0.28241339325904846,2.4993369579315186,0.6135395765304565,-0.010003996081650257,0.0,False,0,100,0,1,27.531705260276794,0.0,1,32.86640167236328,3,3,3,1,1,1,1,1,1,1,1,0.001832079475308642,0.00017650462962962962,0.0005676118827160494
4.0,4.000000059604645,"Location(x=106.428642, y=78.540031, z=-0.019301)",0.2822231650352478,2.774118185043335,0.6212487816810608,-0.008325387723743916,0.0,False,0,100,0,1,24.907140135765076,0.0,1,30.22979736328125,3,3,1,1,1,1,1,1,1,1,1,0.0021783371913580247,5.304783950617284e-06,0.0006558641975308642
5.0,5.000000074505806,"Location(x=106.430122, y=75.768944, z=-0.019289)",0.2446783035993576,3.0372724533081055,0.6212487816810608,-0.0027862621936947107,0.0,False,0,100,0,1,22.015212416648865,0.0,1,27.319873809814453,3,1,1,1,1,1,1,1,1,1,1,0.002845775462962963,4.340277777777778e-05,0.0007585841049382716
6.0,6.000000089406967,"Location(x=106.420395, y=72.614784, z=-0.019276)",0.2094060182571411,3.263021945953369,0.6212487816810608,-0.002752692438662052,0.0,False,0,100,0,1,18.889882445335388,0.02308635413646698,1,24.165931701660156,1,1,1,1,1,1,1,1,1,1,2,0.003817997685185185,0.00013165509259259258,0.0008627507716049383
7.0,7.000000104308128,"Location(x=106.397705, y=69.251656, z=-0.019265)",0.18146826326847076,3.4568660259246826,0.6212487816810608,-0.0022155798505991697,0.0,False,0,100,0,1,17.823499083518982,5.056436538696289,1,20.80289077758789,1,1,1,1,1,1,1,1,1,2,2,0.004373070987654321,0.0002927276234567901,0.001101466049382716
8.0,8.00000011920929,"Location(x=106.367058, y=65.702431, z=-0.019274)",0.21232490241527557,3.6479573249816895,0.6287944912910461,0.0017120378324761987,0.0,False,0,100,0,1,18.550376296043396,4.09968376159668,1,17.253700256347656,1,1,1,1,1,1,1,1,2,2,3,0.004143036265432099,0.0011250964506172838,0.0013430748456790124
9.0,9.00000013411045,"Location(x=106.345863, y=61.949661, z=-0.019270)",0.19475533068180084,3.8524210453033447,0.6287944912910461,0.0017120378324761987,0.0,False,0,100,0,1,20.229234099388123,7.551431655883789,1,13.501315116882324,1,1,1,1,1,1,1,2,2,3,3,0.0050390625,0.002028838734567901,0.0017004243827160495
10.0,10.000000149011612,"Location(x=106.335190, y=58.002739, z=-0.019263)",0.1741219311952591,4.03618860244751,0.6287944912910461,0.0018463155720382929,0.0,False,0,100,0,1,24.302668929100037,7.7310614585876465,1,9.555529594421387,1,1,1,1,1,1,2,2,3,3,3,0.005122974537037037,6.26929012345679e-06,0.0022294560185185186
11.0,11.000000163912773,"Location(x=106.351646, y=53.882175, z=-0.019256)",0.15556223690509796,4.2004008293151855,0.6287944912910461,0.0029876797925680876,0.0,False,0,100,0,1,28.239070296287537,8.119467735290527,1,5.439469814300537,1,1,1,1,1,2,2,3,3,3,3,0.0027604166666666667,0.0,0.003208912037037037
12.0,12.000000178813934,"Location(x=106.395271, y=49.606586, z=-0.019250)",0.13895109295845032,4.347130298614502,0.6287944912910461,0.0029876797925680876,0.0,False,0,100,0,1,32.02222001552582,8.07331371307373,1,1.2095082998275757,1,1,1,1,2,2,3,3,3,3,3,0.0022116126543209875,0.0,0.005345293209876543
