frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=106.228340, y=47.783329, z=-0.007789)",0,0,0.0,0.00046997074969112873,0.0,False,0,100,0,0,100,0,1,0,1,1,1,1,1,1,1,1,1,1,2,0.0007802854938271605,0.0,0.00738233024691358
1.0,1.0000000149011612,"Location(x=106.228340, y=47.783329, z=-0.007789)",0,0,0.0,-0.000906372326426208,0.0,False,0,100,0,0,100,0,1,0,1,1,1,1,1,1,1,1,1,2,2,0.0007826967592592592,0.0,0.00738233024691358
2.0,2.0000000298023224,"Location(x=106.236206, y=47.602913, z=-0.009940)",2.1885204315185547,0.9637172222137451,0.8699107766151428,0.006378260441124439,0.0,False,0,100,0,0,100,0,1,0,1,1,1,1,1,1,1,1,2,2,3,0.11087528935185186,0.0,0.0074435763888888885
3.0,3.0000000447034836,"Location(x=106.313797, y=45.870541, z=-0.006713)",0.09688283503055573,1.4376078844070435,0.6018593907356262,0.00023498536029364914,0.0,False,0,100,0,1,6.202469825744629,8.417530059814453,1,0,1,1,1,1,1,1,1,2,2,3,3,0.04174093364197531,0.0,0.010679494598765433
4.0,4.000000059604645,"Location(x=106.428116, y=43.084476, z=-0.011039)",4.109490871429443,4.627122402191162,0.9698216915130615,6.713867333019152e-05,0.0,False,0,100,0,1,11.320355415344238,8.12414264678955,0,100,0,0,0,0,0,0,0,0,0,0,0,0.010838638117283951,0.0,0.005202546296296296
5.0,5.000000074505806,"Location(x=106.681648, y=36.031075, z=-0.011800)",5.02401876449585,9.726082801818848,0.9671812653541565,-0.006042554043233395,0.0,False,0,100,0,1,12.266202926635742,8.045654296875,0,100,0,0,0,0,0,0,0,0,0,0,0,0.008851755401234567,0.0,0.00632764274691358
6.0,6.000000089406967,"Location(x=106.860573, y=24.415585, z=-0.006150)",-2.5754332542419434,12.078756332397461,0.0,-0.004296901635825634,0.0,False,0,100,0,1,8.762399673461914,8.0606107711792,0,100,0,0,0,0,0,0,0,0,0,0,0,0.01714699074074074,0.0,0.0
7.0,7.000000104308128,"Location(x=106.849083, y=15.375455, z=-0.004567)",-7.414670944213867,6.468302249908447,0.0,0.002886970993131399,0.0,False,0,100,0,1,7.830798149108887,8.065957069396973,0,100,0,0,0,0,0,0,0,0,0,0,0,0.024860146604938273,0.0,0.0
8.0,8.00000011920929,"Location(x=106.877632, y=10.258978, z=-0.012396)",8.82646656036377,6.8982930183410645,1.0,6.713867333019152e-05,0.0,False,0,100,0,1,10.709035873413086,8.064714431762695,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0166015625,0.0,0.0
9.0,9.00000013411045,"Location(x=106.960884, y=0.651143, z=-0.012540)",5.431563854217529,12.218406677246094,1.0,-0.0034240856766700745,0.0,False,0,100,0,1,9.191182136535645,8.064339637756348,0,100,0,0,0,0,0,0,0,0,0,0,0,0.04127652391975309,0.0,0.0
10.0,10.000000149011612,"Location(x=106.923531, y=-13.794282, z=-0.010241)",1.1083015203475952,16.189924240112305,0.2288936823606491,-0.012656315229833126,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.1071238425925926,0.0,0.0
11.0,11.000000163912773,"Location(x=106.126816, y=-28.092140, z=-0.004952)",-6.8867902755737305,12.31026840209961,0.0,-0.04356696084141731,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
12.0,12.000000178813934,"Location(x=103.788803, y=-37.984116, z=-0.009515)",-0.4404512345790863,10.500165939331055,1.0,-0.059689879417419434,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0007822145061728395,0.0,0.0
