frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-15.827359, y=133.723373, z=0.001684)",0.03112434223294258,0.19657747447490692,0.0,0.01702129654586315,0.0,False,1,81.11560702323914,7.932806491851807,1,76.49684262275696,8.031869888305664,1,5.988645076751709,3,3,3,3,3,1,1,1,1,1,1,0.05736834490740741,0.002855420524691358,0.0008883101851851852
1.0,1.0000000149011612,"Location(x=-16.027214, y=133.719681, z=0.001588)",1.7719039916992188,0.5565837025642395,0.3976173996925354,0.026929114013910294,0.0,False,1,34.55810523033142,7.790117263793945,0,100,0,1,5.788759708404541,3,3,3,3,1,1,1,1,1,1,1,0.05369984567901234,0.002150366512345679,0.0009022955246913581
2.0,2.0000000298023224,"Location(x=-17.673702, y=133.659729, z=0.001528)",1.05586838722229,2.674856185913086,0.4024427533149719,0.017860785126686096,0.0,False,1,39.70917868614197,7.863389015197754,0,100,0,1,4.141339302062988,3,3,3,1,1,1,1,1,1,1,1,0.003855613425925926,0.0016430362654320987,0.0010108024691358026
3.0,3.0000000447034836,"Location(x=-21.237890, y=133.507843, z=0.001613)",-0.8965001702308655,4.150531768798828,0.0,0.0003021240408997983,0.0,False,1,43.936206579208374,7.859209060668945,0,100,0,1,0.5804606676101685,3,3,1,1,1,1,1,1,1,1,1,0.0020240162037037037,0.0015735918209876542,0.001238425925925926
4.0,4.000000059604645,"Location(x=-24.632822, y=133.364365, z=0.001809)",-2.1214592456817627,2.5697927474975586,0.0,0.000335693359375,0.23463541269302368,False,1,48.13602042198181,7.865383625030518,0,100,0,1,0,3,1,1,1,1,1,1,1,1,1,1,0.0010947145061728394,0.0022747878086419753,0.0016213348765432099
5.0,5.000000074505806,"Location(x=-25.535021, y=133.326004, z=0.001731)",0,0,0.0,0.000335693359375,0.24034327268600464,False,1,54.48806357383728,7.870845794677734,0,100,0,1,0,1,1,1,1,1,1,1,1,1,1,2,0.0011709104938271604,0.002900270061728395,0.0017447916666666666
6.0,6.000000089406967,"Location(x=-25.540213, y=133.325836, z=0.001674)",-0.09561783075332642,0.018136510625481606,0.31692805886268616,0.0003021240408997983,0.0,False,1,61.256194829940796,7.856348037719727,0,100,0,1,0,1,1,1,1,1,1,1,1,1,2,2,0.0011786265432098765,0.003181423611111111,0.001732253086419753
7.0,7.000000104308128,"Location(x=-27.079508, y=133.259918, z=0.001429)",3.207672595977783,3.2114651203155518,0.5659327507019043,0.0003021240408997983,0.0,False,1,65.92015814781189,7.841964244842529,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0014250578703703704,0.0036742862654320987,0.0019695216049382715
8.0,8.00000011920929,"Location(x=-31.711531, y=133.060379, z=0.001744)",2.9053144454956055,5.673840522766113,0.6287944912910461,-0.004129051696509123,0.0,False,1,67.30094885826111,7.873314380645752,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0014737654320987653,0.004702932098765432,0.0030642361111111113
9.0,9.00000013411045,"Location(x=-38.786217, y=132.901978, z=0.001640)",2.997853994369507,8.453797340393066,0.6287944912910461,-0.003289806889370084,0.0,False,1,66.4974057674408,7.870712757110596,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0018060378086419753,0.011321373456790124,0.004345100308641975
10.0,10.000000149011612,"Location(x=-48.495506, y=132.804611, z=0.001670)",2.4739625453948975,10.887442588806152,0.6287944912910461,-0.001879884977824986,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14086467978395062,0.005380497685185185
11.0,11.000000163912773,"Location(x=-60.435966, y=132.608475, z=0.001701)",1.8932981491088867,12.910436630249023,0.6287944912910461,0.03327948972582817,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12393180941358024,0.0
12.0,12.000000178813934,"Location(x=-73.766273, y=130.140625, z=0.001819)",-0.0986638069152832,13.963615417480469,0.4898291230201721,0.08567624539136887,0.0,False,1,56.85512900352478,7.860063552856445,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0007306134259259259,0.0
13.0,13.000000193715096,"Location(x=-85.652954, y=123.362129, z=0.001880)",-0.3296334743499756,13.468009948730469,0.47654515504837036,0.04898321256041527,0.0,False,1,68.51411557197571,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.00012683256172839506,0.001103877314814815,0.00018373842592592593
14.0,14.000000208616257,"Location(x=-95.210609, y=114.048424, z=0.001848)",0.005786895286291838,13.368786811828613,0.49860161542892456,0.08148456364870071,0.0,False,1,47.25558829307556,6.409927845001221,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0009085648148148148,0.0009148341049382716,0.0002406442901234568
15.0,15.000000223517418,"Location(x=-101.387657, y=102.232574, z=0.001841)",0.057507991790771484,13.404240608215332,0.49860161542892456,0.05120434984564781,0.0,False,1,38.65295386314392,3.1032369136810303,1,45.164944887161255,8.012478360797104e-07,1,52.46158218383789,3,3,1,1,1,1,1,1,1,1,1,0.0008072916666666667,0.0009524498456790123,0.00031394675925925926
16.0,16.00000023841858,"Location(x=-104.584145, y=89.959244, z=0.002020)",-2.3493871688842773,11.540989875793457,0.20557990670204163,0.013092788867652416,0.0,False,1,29.16033911705017,3.0907514095306396,1,32.84013485908508,1.4114430086920038e-06,1,39.82558059692383,3,1,1,1,1,1,1,1,1,1,1,0.0008550347222222222,0.0013797260802469137,0.00037471064814814816
17.0,17.00000025331974,"Location(x=-106.137558, y=79.749878, z=0.001990)",-1.7979278564453125,9.277441024780273,0.23463541269302368,0.03378359600901604,0.0,False,1,19.97171187400818,0.0013601243263110518,1,22.72415852546692,0.09190569818019867,1,29.667238235473633,1,1,1,1,1,1,1,1,1,1,2,0.0020375192901234567,0.002505787037037037,0.0004933449074074074
18.0,18.0000002682209,"Location(x=-106.659500, y=71.270546, z=0.001935)",-1.1669679880142212,7.848111629486084,0.26284390687942505,0.012488442473113537,0.0,False,1,11.477895498275757,0,1,15.363240480422974,2.0647084712982178,1,21.174789428710938,1,1,1,1,1,1,1,1,1,2,2,0.004132908950617284,0.006677276234567901,0.0007084297839506173
19.0,19.000000283122063,"Location(x=-106.842911, y=64.496292, z=0.002047)",-2.7788124084472656,5.440763473510742,0.0,-0.0013427742524072528,0.08642881363630295,False,1,5.26589560508728,1.648817777633667,1,11.971001863479614,4.840402126312256,1,14.39810848236084,1,1,1,1,1,1,1,1,2,2,3,0.008018422067901234,0.026246141975308643,0.0010209297839506174
20.0,20.000000298023224,"Location(x=-106.902802, y=62.094574, z=0.001853)",0.4365466237068176,0.06066443771123886,0.0,0.0047668819315731525,0.0,False,1,5.428112745285034,3.431631326675415,0,100,0,1,11.995715141296387,1,1,1,1,1,1,1,2,2,3,3,0.0053858024691358026,0.02781394675925926,0.0011077353395061728
21.0,21.000000312924385,"Location(x=-106.926880, y=61.508305, z=0.001438)",4.169532775878906,1.9305293560028076,0.47654515504837036,0.04827658832073212,0.0,False,1,9.016589879989624,4.555949687957764,0,100,0,1,11.408968925476074,1,1,1,1,1,1,2,2,3,3,3,0.002400173611111111,0.011227334104938272,0.001114969135802469
22.0,22.000000327825546,"Location(x=-106.957741, y=58.560013, z=0.001549)",2.1993680000305176,3.822478771209717,0.46758678555488586,0.03711114078760147,0.0,False,1,10.025792837142944,3.126854658126831,0,100,0,1,8.46152114868164,1,1,1,1,1,2,2,3,3,3,3,0.003869116512345679,0.008931809413580247,0.0013372878086419754
23.0,23.000000342726707,"Location(x=-106.842979, y=53.861362, z=0.001886)",-1.949741005897522,4.984455108642578,0.06620238721370697,0.011548364534974098,0.0,False,1,9.193011999130249,4.593677043914795,0,100,0,1,3.7838735580444336,1,1,1,1,2,2,3,3,3,3,3,0.0064038387345679015,0.010553626543209876,0.0017727623456790123
24.0,24.00000035762787,"Location(x=-106.702896, y=49.240776, z=0.001791)",-1.580351710319519,3.9661378860473633,0.05247935652732849,-0.00852681789547205,0.0,False,1,9.81191897392273,6.267419338226318,0,100,0,1,0,1,1,1,2,2,3,3,3,3,3,3,0.00540991512345679,0.009662422839506173,0.002451292438271605
25.0,25.00000037252903,"Location(x=-106.654442, y=45.299934, z=0.003292)",1.3476463556289673,4.304235458374023,0.3976173996925354,-0.019707750529050827,0.0,False,1,13.222041845321655,7.451666355133057,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0004441550925925926,0.005559413580246914,0.0030420524691358026
26.0,26.00000038743019,"Location(x=-106.742935, y=40.409924, z=0.001831)",0.42307496070861816,5.175041198730469,0.47654515504837036,-0.011548364534974098,0.0,False,1,15.844701528549194,7.551887512207031,1,35.21823000907898,7.963655948638916,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0005005787037037037,0.003918306327160494,0.004736207561728395
27.0,27.000000402331352,"Location(x=-106.935585, y=34.543339, z=0.001735)",1.0468491315841675,6.585131645202637,0.49860161542892456,0.004296901635825634,0.0,False,1,17.572835683822632,7.821743011474609,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.000630787037037037,0.0033820408950617285,0.006661844135802469
28.0,28.000000417232513,"Location(x=-107.105675, y=27.259079, z=0.001749)",0.87581467628479,7.918355941772461,0.49860161542892456,0.0001678466796875,0.0,False,1,18.170509099960327,7.877427577972412,0,100,0,1,97.00518798828125,3,3,3,3,3,3,3,3,3,3,3,0.0009249614197530864,0.0033347800925925927,0.008968460648148149
29.0,29.000000432133675,"Location(x=-107.257919, y=18.721918, z=0.001762)",0.7594696283340454,9.09602165222168,0.5115882158279419,0.0042297616600990295,0.0,False,1,17.48060393333435,7.841991424560547,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.001670042438271605,0.003742283950617284,0.0031394675925925926
30.0,30.000000447034836,"Location(x=-107.214966, y=9.069092, z=0.001761)",0.9756462574005127,10.190513610839844,0.5618590712547302,0.013764296658337116,0.0,False,1,15.668779134750366,7.873054027557373,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.005140817901234568,0.0043933256172839505,0.0
31.0,31.000000461935997,"Location(x=-106.673790, y=-1.917827, z=0.001729)",1.1960450410842896,11.779708862304688,0.5740290880203247,0.0035919344518333673,0.0,False,1,12.567184209823608,7.851603984832764,1,32.35667300224304,7.966859817504883,0,100,0,0,0,0,0,0,0,0,0,0,0,0.013241705246913581,0.0072448881172839505,0.0
32.0,32.00000047683716,"Location(x=-105.987930, y=-14.316833, z=0.001781)",0.19998130202293396,12.900662422180176,0.46758678555488586,-0.005908271763473749,0.0,False,1,27.514830350875854,7.9604926109313965,1,8.154825925827026,7.869250774383545,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0006688850308641975,0.020314911265432098,0.00019097222222222223
33.0,33.00000049173832,"Location(x=-105.380356, y=-26.864576, z=0.001899)",-0.8406598567962646,12.157132148742676,0.4120218753814697,0.043096110224723816,0.0,False,1,22.81381106376648,7.960387706756592,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0023813657407407408,0.08219907407407408,0.0
34.0,34.00000050663948,"Location(x=-102.964043, y=-38.463833, z=0.001882)",-0.681033730506897,11.633807182312012,0.4262150526046753,0.09813425689935684,0.0,False,1,18.770851850509644,7.174586296081543,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.003967496141975308,0.043551793981481485,0.00012683256172839506
35.0,35.00000052154064,"Location(x=-97.126678, y=-48.213955, z=0.001871)",-0.517622709274292,11.252581596374512,0.4262150526046753,0.06349761039018631,0.0,False,1,14.11473536491394,6.2603888511657715,0,100,0,1,31.701107025146484,3,3,3,3,3,3,1,1,1,1,1,0.007767650462962963,0.006655092592592593,0.0008092206790123456
36.0,36.0000005364418,"Location(x=-89.275047, y=-55.280731, z=0.002092)",-4.017568111419678,9.216900825500488,0.0,0.09078468382358551,0.0,False,1,9.347359418869019,5.49186897277832,0,100,0,1,21.803070068359375,3,3,3,3,3,1,1,1,1,1,1,0.011030574845679013,0.00011574074074074075,0.0028115354938271606
37.0,37.000000551342964,"Location(x=-82.561691, y=-58.517303, z=0.002099)",-4.0353007316589355,5.794936656951904,0.0,0.08608204871416092,0.3010239601135254,False,1,6.75695013999939,3.4519994258880615,0,100,0,1,14.47689437866211,3,3,3,3,1,1,1,1,1,1,1,0.06555603780864197,0.0009601658950617284,0.003421585648148148
38.0,38.000000566244125,"Location(x=-81.949387, y=-58.723381, z=0.001702)",0.11288335919380188,0.011254814453423023,0.0,0.06663277745246887,0.0,False,1,6.932813405990601,0.0003873995738103986,0,100,0,1,13.50894832611084,3,3,3,1,1,1,1,1,1,1,1,0.021706211419753086,0.1106153549382716,0.003755304783950617
39.0,39.00000058114529,"Location(x=-81.942436, y=-58.725510, z=0.001678)",0.1090184673666954,0.008720899932086468,0.0,0.044306911528110504,0.0,False,1,6.92561411857605,0,0,100,0,1,13.502084732055664,3,3,1,1,1,1,1,1,1,1,1,0.01517602237654321,0.05552324459876543,0.003986786265432099
40.0,40.00000059604645,"Location(x=-81.939384, y=-58.726440, z=0.001677)",0.11940722167491913,0.005597262177616358,0.0,0.011548364534974098,0.0,False,1,6.9224278926849365,0,0,100,0,1,13.499070167541504,3,1,1,1,1,1,1,1,1,1,1,0.015394965277777778,0.02868923611111111,0.004007523148148148
41.0,41.00000061094761,"Location(x=-81.936958, y=-58.727177, z=0.001677)",0.11125819385051727,0.005355894565582275,0.0,0.0038604927249252796,0.0,False,1,6.919895887374878,0,0,100,0,1,13.496674537658691,1,1,1,1,1,1,1,1,1,1,2,0.0162133487654321,0.028727816358024693,0.004005111882716049
42.0,42.00000062584877,"Location(x=-81.921021, y=-58.732407, z=0.001629)",1.1312484741210938,0.22276023030281067,0.4262150526046753,0.0038604927249252796,0.0,False,1,7.669442892074585,2.2429816722869873,0,100,0,1,13.480951309204102,1,1,1,1,1,1,1,1,1,2,2,0.01605661651234568,0.025193865740740742,0.0040581597222222225
43.0,43.00000064074993,"Location(x=-80.090858, y=-59.337543, z=0.001465)",2.9328701496124268,3.2630085945129395,0.5158786773681641,0.019472675397992134,0.0,False,1,8.812740087509155,3.5085599422454834,0,100,0,1,12.055094718933105,1,1,1,1,1,1,1,1,2,2,3,0.01982253086419753,0.01978539737654321,0.00484471450617284
44.0,44.00000065565109,"Location(x=-75.678764, y=-60.543449, z=0.001833)",0.4291728138923645,5.14359188079834,0.5244028568267822,0.05342599004507065,0.0,False,1,8.96396517753601,4.950621128082275,0,100,0,1,7.590071678161621,1,1,1,1,1,1,1,2,2,3,3,0.00785300925925926,0.020054012345679013,0.0032995756172839504
45.0,45.000000670552254,"Location(x=-70.039062, y=-61.425560, z=0.001717)",1.2990760803222656,6.82213020324707,0.5244028568267822,0.04807470366358757,0.0,False,1,9.317800283432007,7.200576305389404,0,100,0,1,1.623072624206543,1,1,1,1,1,1,1,2,2,3,3,0.005842013888888889,0.02171778549382716,0.007119502314814815
46.0,46.000000685453415,"Location(x=-62.414963, y=-61.749126, z=0.001744)",1.0486267805099487,8.332880020141602,0.5328526496887207,0.028911249712109566,0.0,False,1,10.690516233444214,7.84800910949707,0,100,0,1,36.92963790893555,3,3,3,3,3,3,3,3,3,3,3,0.005837191358024692,0.0008391203703703704,0.004496527777777778
47.0,47.000000700354576,"Location(x=-53.661972, y=-61.517151, z=0.001802)",0.2532511055469513,9.033368110656738,0.45854470133781433,-0.005706849042326212,0.0,False,1,11.53463625907898,7.969878196716309,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.007094907407407407,0.0009022955246913581,0.005111882716049383
48.0,48.00000071525574,"Location(x=-44.404346, y=-61.296299, z=0.002118)",-1.0648422241210938,9.276900291442871,0.2460176646709442,-0.0023162884172052145,0.0,False,1,10.224070310592651,7.965009689331055,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.011223958333333334,0.0025337577160493827,0.0
49.0,49.0000007301569,"Location(x=-35.775570, y=-61.211784, z=0.001935)",-1.5369998216629028,7.989664554595947,0.2793825566768646,-0.006109694950282574,0.0,False,1,9.542187452316284,7.965795040130615,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0272289737654321,0.014272762345679013,0.0
50.0,50.00000074505806,"Location(x=-28.221874, y=-61.268211, z=0.001860)",-0.10795021802186966,7.32691764831543,0.45854470133781433,-0.0023834274616092443,0.0,False,1,9.936092138290405,7.965672969818115,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.009024402006172839,0.1136940586419753,0.0
