frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-110.029770, y=-7.465936, z=-0.019191)",0,0,0.0,0.0033569461666047573,0.0,False,0,100,0,0,100,0,1,0,1,1,1,1,1,1,1,1,2,2,3,0.06232783564814815,0.01177951388888889,0.007767650462962963
1.0,0.9500000141561031,"Location(x=-110.029869, y=-7.414442, z=-0.019882)",3.300363779067993,0.3858565390110016,1.0,0.0033569461666047573,0.0,False,0,100,0,1,6.903862237930298,5.723128318786621,1,0,1,1,1,1,1,1,1,2,2,3,3,0.032310956790123455,0.004440586419753086,0.007815875771604938
2.0,1.9500000290572643,"Location(x=-110.033081, y=-5.763841, z=-0.020094)",2.5482287406921387,2.84940767288208,1.0,0.0033569461666047573,0.0,False,0,100,0,1,12.261290788650513,7.974181175231934,1,0,1,1,1,1,1,1,2,2,3,3,3,0.008395061728395062,0.0023022762345679014,0.005167824074074074
3.0,2.9500000439584255,"Location(x=-110.063271, y=-1.363943, z=-0.020725)",4.6529669761657715,6.464148998260498,1.0,0.004061912186443806,0.0,False,0,100,0,1,15.750235795974731,7.978203296661377,0,100,0,0,0,0,0,0,0,0,0,0,0,0.004909818672839506,0.002728587962962963,0.0059538966049382715
4.0,3.9500000588595867,"Location(x=-110.207253, y=7.141935, z=-0.020631)",2.7689898014068604,10.607339859008789,1.0,0.004061912186443806,0.0,False,0,100,0,1,15.226916551589966,8.002496719360352,0,100,0,0,0,0,0,0,0,0,0,0,0,0.005256558641975309,0.004037422839506173,0.00892505787037037
5.0,4.950000073760748,"Location(x=-110.607750, y=19.484869, z=-0.020335)",3.301811695098877,14.141181945800781,1.0,0.0036590739618986845,0.0,False,0,100,0,1,10.90427041053772,7.99973201751709,0,100,0,0,0,0,0,0,0,0,0,0,0,0.010172646604938272,0.008364679783950618,0.0
6.0,5.950000088661909,"Location(x=-111.304977, y=35.108994, z=-0.020165)",2.7003228664398193,16.994949340820312,0.6212635636329651,-0.010104713961482048,0.0,False,1,3.4442288875579834,7.99962854385376,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.09312596450617285,0.039869309413580245,0.0
7.0,6.95000010356307,"Location(x=-111.606133, y=51.796387, z=-0.018133)",-0.37112441658973694,15.640798568725586,0.0,-0.0032562371343374252,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.02349971064814815,0.03777440200617284,0.0
8.0,7.9500001184642315,"Location(x=-111.506943, y=65.418854, z=-0.017205)",-4.410928726196289,11.523155212402344,0.48099344968795776,-0.0037597832269966602,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0003004436728395062,0.0003616898148148148,0.0
9.0,8.950000133365393,"Location(x=-111.226578, y=75.454880, z=-0.018367)",-1.5474709272384644,9.014666557312012,0.5412293076515198,-0.008560390211641788,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.000621141975308642,0.000546875,2.2665895061728396e-05
10.0,9.950000148266554,"Location(x=-110.662201, y=84.421577, z=-0.019639)",1.8492822647094727,9.543838500976562,0.8901628255844116,-0.01883462443947792,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0009408757716049382,0.0012369791666666666,0.00023389274691358025
