frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-71.611740, y=13.065403, z=-0.008954)",1.2797306776046753,4.591098785400391,0.6655943989753723,-0.010037568397819996,0.0,False,1,11.880258440971375,4.278515815734863,0,100,0,1,11.717596054077148,1,1,1,1,1,1,2,2,3,3,3,0.00644483024691358,0.0,0.0013990162037037037
1.0,1.0000000149011612,"Location(x=-76.597580, y=13.240583, z=-0.007815)",1.9818847179412842,5.148987293243408,0.6691986322402954,-0.010037568397819996,0.0,False,1,11.35919463634491,5.372753620147705,0,100,0,1,6.737377643585205,1,1,1,1,1,2,2,3,3,3,3,0.008509355709876543,0.0,0.0020828510802469134
2.0,2.0000000298023224,"Location(x=-83.179916, y=13.472846, z=-0.008638)",1.6580713987350464,7.703212261199951,0.6135395765304565,0.014838735572993755,0.0,False,1,11.839374423027039,7.951993942260742,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.011203703703703704,0.0,0.005124903549382716
3.0,3.0000000447034836,"Location(x=-91.203331, y=13.141149, z=-0.008127)",1.1275514364242554,8.380120277404785,0.6212487816810608,0.09190171211957932,0.0,False,1,11.23266589641571,7.908660411834717,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.017060185185185185,0.0,0.003879243827160494
4.0,4.000000059604645,"Location(x=-99.217995, y=10.183142, z=-0.007822)",0.5674588084220886,8.856374740600586,0.6212635636329651,0.14724497497081757,0.0,False,1,9.141537547111511,7.948579788208008,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.023114390432098765,0.0,0.0024445408950617285
5.0,5.000000074505806,"Location(x=-104.781281, y=3.312158, z=-0.007715)",0.5237203240394592,9.180105209350586,0.6212635636329651,0.12103263288736343,0.0,False,1,8.02448832988739,7.982839107513428,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.032027874228395065,0.0,0.0
6.0,6.000000089406967,"Location(x=-107.225975, y=-5.728644, z=-0.007719)",-0.01753859780728817,9.536574363708496,0.6212635636329651,0.16002768278121948,0.0,False,1,6.840963244438171,7.983659744262695,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.06611786265432099,0.0,0.0
7.0,7.000000104308128,"Location(x=-106.367577, y=-15.328234, z=-0.007950)",0.39221760630607605,9.854564666748047,0.6212487816810608,-0.023267747834324837,0.0,False,1,5.19503390789032,7.978860378265381,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.08416570216049382,0.0005637538580246914,0.0002980324074074074
8.0,8.00000011920929,"Location(x=-105.397331, y=-24.923412, z=-0.007127)",-0.40035438537597656,9.346254348754883,0.5328526496887207,0.03771623224020004,0.0,False,1,3.4793976545333862,7.97681188583374,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.06101707175925926,0.0011197916666666667,0.0
9.0,9.00000013411045,"Location(x=-103.747139, y=-33.832527, z=-0.007371)",0.08792892098426819,8.879673957824707,0.5412293076515198,-0.0014770518755540252,0.0,False,1,2.241146445274353,7.976473808288574,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.11991512345679012,0.002876639660493827,0.00019772376543209877
10.0,10.000000149011612,"Location(x=-101.055107, y=-42.044716, z=-0.007216)",-0.018702145665884018,8.4876070022583,0.5244028568267822,0.0940687283873558,0.0,False,1,1.494421362876892,7.980709075927734,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.16376012731481482,0.0038464506172839505,0.0005979938271604939
11.0,11.000000163912773,"Location(x=-96.334793, y=-48.732948, z=-0.007077)",-0.1847108006477356,7.942414283752441,0.3976173996925354,0.06265503913164139,0.0,False,1,1.215781569480896,7.967787265777588,0,100,0,1,30.763917922973633,1,1,1,1,1,1,1,2,2,3,3,0.17086757330246913,0.004944058641975308,0.0008212770061728395
12.0,12.000000178813934,"Location(x=-90.706123, y=-53.783047, z=-0.006491)",-0.21922561526298523,6.610639572143555,0.39274919033050537,0.051137033849954605,0.0,False,1,1.3012622594833374,6.9737420082092285,0,100,0,1,23.946462631225586,1,1,1,1,1,1,2,2,3,3,3,0.1788773148148148,0.05507716049382716,0.002613329475308642
13.0,13.000000193715096,"Location(x=-86.003456, y=-56.952072, z=-0.006738)",0.2529405951499939,5.497427463531494,0.3976173996925354,0.06444139778614044,0.0,False,1,1.6528652906417847,6.085675239562988,0,100,0,1,18.1951961517334,1,1,1,1,1,2,2,3,3,3,3,0.1497993827160494,0.00046392746913580246,0.0017775848765432098
14.0,14.000000208616257,"Location(x=-81.073692, y=-59.112553, z=-0.007534)",1.029800295829773,5.132171154022217,0.5740290880203247,0.11660700291395187,0.0,False,1,2.066470980644226,5.298758506774902,1,42.18267631530762,8.03951358795166,1,13.148627281188965,1,1,1,1,2,2,3,3,3,3,3,0.1323292824074074,0.0005029899691358024,0.004386574074074074
15.0,15.000000223517418,"Location(x=-76.346077, y=-60.255581, z=-0.007650)",1.3302053213119507,5.158254146575928,0.48099344968795776,0.026022106409072876,0.0,False,1,1.6303142309188843,3.877206325531006,1,45.32137107849121,8.05176067352295,1,8.037638664245605,1,1,1,2,2,3,3,3,3,3,3,0.14535059799382716,0.0005531442901234568,0.006009355709876543
16.0,16.00000023841858,"Location(x=-71.504387, y=-61.096371, z=-0.004495)",-2.9564998149871826,3.421489715576172,0.24034327268600464,0.0496898852288723,0.0,False,1,1.1235283613204956,4.0610127449035645,1,48.76025581359863,8.054536819458008,1,3.290907144546509,1,1,2,2,3,3,3,3,3,3,3,0.1812037037037037,0.0005473572530864197,0.0055685763888888885
