frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.008728248998522758,0.0,False,1,44.93899405002594,7.971083164215088,1,69.60347831249237,3.0799927711486816,1,0,3,3,3,3,3,3,3,3,3,3,3,0.0006418788580246914,0.026533564814814815,0.005339023919753086
1.0,1.0000000149011612,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.008728248998522758,0.0,False,1,52.9096018075943,7.970410346984863,1,72.52925193309784,3.1035380363464355,1,0,3,3,3,3,3,3,3,3,3,3,3,0.006399016203703704,0.002308545524691358,0.005357831790123457
2.0,2.0000000298023224,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.008929681032896042,0.0,False,1,60.76629889011383,7.4886250495910645,1,75.45781791210175,1.752065896987915,1,0,3,3,3,3,3,3,3,3,3,3,3,0.005259934413580247,0.0020809220679012344,0.005357831790123457
3.0,3.0000000447034836,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.015980364754796028,0.0,False,1,66.90951025485992,2.4653573036193848,1,75.80625998973846,0.00016047725512180477,1,0,3,3,3,3,3,3,3,3,3,3,3,0.0053149112654320985,0.0016222993827160494,0.005357831790123457
4.0,4.000000059604645,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.020782411098480225,0.0,False,1,69.97023260593414,3.1247565746307373,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.005811631944444445,0.001974344135802469,0.005357831790123457
5.0,5.000000074505806,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,73.19543707370758,3.214210271835327,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.006089409722222223,0.001656057098765432,0.0053539737654320985
6.0,6.000000089406967,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19483435153961,0.01648075319826603,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.006373939043209876,0.0018913966049382716,0.005357831790123457
7.0,7.000000104308128,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19789373874664,0.0028904429636895657,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.006192611882716049,0.0016878858024691357,0.005357831790123457
8.0,8.00000011920929,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.0035691550925925925,0.0016883680555555556,0.005357831790123457
9.0,9.00000013411045,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.0026847029320987655,0.0016883680555555556,0.005357831790123457
10.0,10.000000149011612,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.0028245563271604938,0.0016883680555555556,0.005357831790123457
11.0,11.000000163912773,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.002839506172839506,0.0016796875,0.005357831790123457
12.0,12.000000178813934,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,3,3,0.003017457561728395,0.0017356288580246914,0.005357831790123457
13.0,13.000000193715096,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,1,1,0.0028351658950617285,0.0018938078703703703,0.005355902777777778
14.0,14.000000208616257,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,3,3,1,1,0.003331886574074074,0.0022878086419753085,0.005355902777777778
15.0,15.000000223517418,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,3,1,1,1,1,0.0038387345679012346,0.002570408950617284,0.0053563850308641974
16.0,16.00000023841858,"Location(x=-44.944660, y=45.612656, z=-0.019192)",0,0,0.0,0.02125258930027485,0.0,False,1,74.19742834568024,0,1,75.80620658397675,0.0,1,0,3,3,3,3,3,3,1,1,1,1,1,0.005614872685185185,0.0039202353395061725,0.005368923611111111
