frame,timestamp,location,acceleration,velocity,throttle,steer,brake,reverse,has_front_vehicle,front_vehicle_distance,front_vehicle_velocity,has_side_vehicle,side_vehicle_distance,side_vehicle_velocity,has_traffic_light,distance_tl,signal_tl,signal_tl_1s,signal_tl_2s,signal_tl_3s,signal_tl_4s,signal_tl_5s,signal_tl_6s,signal_tl_7s,signal_tl_8s,signal_tl_9s,signal_tl_10s,car_pixels_ratio,truck_bus_pixels_ratio,traffic_light_pixels_ratio
0.0,0.0,"Location(x=-70.023247, y=-68.218903, z=0.001679)",-0.10626111179590225,-0.004847255069762468,0.0,0.005136153660714626,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1.0,1.0000000149011612,"Location(x=-70.021652, y=-68.218903, z=0.001678)",-0.10817161947488785,-0.0040609161369502544,0.0,0.005136153660714626,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2.0,2.0000000298023224,"Location(x=-70.887863, y=-68.199997, z=0.001419)",4.0922369956970215,2.464769124984741,0.5860632658004761,-0.0029876797925680876,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3.0,3.0000000447034836,"Location(x=-75.000259, y=-68.001640, z=0.001857)",0.2127273678779602,5.188398361206055,0.5900365114212036,-0.04817564785480499,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.057582947530864195,0.0,0.0
4.0,4.000000059604645,"Location(x=-81.201866, y=-67.111115, z=0.001668)",1.9345765113830566,7.437265396118164,0.5900365114212036,-0.06427285820245743,0.0,False,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.05640576774691358,0.0,0.0
5.0,5.000000074505806,"Location(x=-89.294128, y=-64.388145, z=0.001696)",1.6403212547302246,9.59229850769043,0.5939935445785522,-0.09328985959291458,0.0,False,1,55.43958330154419,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.05170524691358025,0.0,0.0001234567901234568
6.0,6.000000089406967,"Location(x=-98.592644, y=-57.732815, z=0.001387)",6.235953330993652,14.284757614135742,1.0,-0.08598059415817261,0.0,False,1,45.92610216140747,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.05920958719135803,0.0,0.00045090663580246915
7.0,7.000000104308128,"Location(x=-108.530914, y=-42.550022, z=0.001648)",-0.40910789370536804,19.554567337036133,0.0,-0.05238242819905281,0.0,False,1,29.79288148880005,0,0,100,0,1,35.912960052490234,3,3,3,3,3,3,3,3,3,3,3,0.01933207947530864,0.0023900462962962964,0.0007180748456790124
8.0,8.00000011920929,"Location(x=-112.672607, y=-27.582495, z=0.002392)",-8.091139793395996,13.009269714355469,0.0,-0.0448450893163681,0.9239239692687988,False,1,13.517813205718994,0,0,100,0,1,19.650537490844727,3,3,3,3,3,3,3,3,3,3,3,0.007006655092592593,0.006843653549382716,0.0011275077160493828
9.0,9.00000013411045,"Location(x=-113.235664, y=-17.958693, z=0.002348)",-5.37800407409668,6.286473274230957,0.0,-0.00869467668235302,0.9430873990058899,False,1,4.173812389373779,0,0,100,0,1,10.306753158569336,3,3,3,3,3,3,3,3,3,3,1,0.041011766975308644,0.008844039351851851,0.0019483024691358025
